"propertyLocation_id","props.bedrooms","props.bathrooms","props.price","props.variableData","props.zestimate","props.rentestimate","props.livingArea","props.lotAreaValue","propertyType_id","propertyUnit_id"
1,3,3,471900,"Sold 04/28/2023",471400,2289,2245,0.92,1,1
2,3,3,375000,"Sold 04/28/2023",373700,1999,1815,0.35,1,1
3,3,3,382500,"Sold 04/28/2023",446000,2294,2350,0.429981635,1,1
4,3,2,330000,"Sold 04/28/2023",329700,1800,1332,0.26,1,1
5,4,3,680000,"Sold 04/28/2023",677600,2988,2600,0.92,1,1
6,3,3,395000,"Sold 04/28/2023",394600,2199,2206,8276.4,1,2
7,4,3,625000,"Sold 04/28/2023",625300,2369,2505,0.918,1,1
8,4,3,575000,"Sold 04/28/2023",573000,2495,2695,9147.6,1,2
9,4,3,569900,"Sold 04/28/2023",567900,2400,2588,7405.2,1,2
10,5,6,1534000,"Sold 04/28/2023",1531700,5583,4835,0.44,1,1
11,5,3,467000,"Sold 04/28/2023",466300,2495,2862,0.36,1,1
12,4,3,555000,"Sold 04/28/2023",554400,2500,2735,8276.4,1,2
13,4,4,784154,"Sold 04/28/2023",554400,3270,3050,0.46,1,1
14,5,4,461990,"Sold 04/28/2023",452600,2545,2881,6969.6,1,2
15,5,4,549990,"Sold 04/28/2023",536200,2749,2912,7840.8,1,2
16,5,4,676145,"Sold 04/28/2023",659200,3009,3319,0.703,1,1
17,4,6,1480000,"Sold 04/28/2023",1479500,6515,4414,1.49,1,1
18,3,2,330000,"Sold 04/27/2023",329000,1794,1187,1.04,1,1
19,4,3,485000,"Sold 04/27/2023",483500,2294,2234,0.8,1,1
20,3,3,352000,"Sold 04/27/2023",350900,1898,1546,10018.8,1,2
21,3,3,550000,"Sold 04/27/2023",488600,2325,2532,0.739990817,1,1
22,4,4,649000,"Sold 04/27/2023",647000,2828,3052,0.25,1,1
23,4,2,440000,"Sold 04/27/2023",392200,2015,1405,0.25,1,1
24,4,4,1210000,"Sold 04/27/2023",1206200,5317,3002,1.42,1,1
25,4,3,499990,"Sold 04/27/2023",498400,2475,2688,10018.8,1,2
26,3,2.5,396000,"Sold 04/27/2023",374600,1872,2688,10018.8,1,2
27,4,3,800000,"Sold 04/27/2023",802700,3516,3218,1.17,1,1
28,3,3,550000,"Sold 04/27/2023",548700,2294,2461,0.74,1,1
29,3,2,367000,"Sold 04/26/2023",365500,2100,1713,0.909986226,1,1
30,3,2,390000,"Sold 04/26/2023",388700,1849,1519,0.35,1,1
31,4,4,620000,"Sold 04/26/2023",617900,2495,2861,0.3,1,1
32,3,3,494000,"Sold 04/26/2023",492300,2357,2606,8712,1,2
33,4,6,1224826,"Sold 04/26/2023",1220000,4675,3709,1.8,1,1
34,4,3,409990,"Sold 04/26/2023",403800,2400,2543,3920.4,1,2
35,5,3,462040,"Sold 04/26/2023",450300,2550,2619,4791.6,1,2
36,4,4,1185000,"Sold 04/26/2023",1114800,4941,3985,1.8,1,1
37,3,2,200000,"Sold 04/25/2023",282900,1800,1272,0.45,1,1
38,4,4,518000,"Sold 04/25/2023",516500,2495,2836,0.62,1,1
39,4,4,1125000,"Sold 04/25/2023",1120900,4944,4238,1.84,1,1
40,4,4,1060000,"Sold 04/25/2023",1056100,4658,3456,1.86,1,1
41,3,2,435000,"Sold 04/24/2023",433600,2009,1803,0.29,1,1
42,3,3,539999,"Sold 04/24/2023",540400,2399,2495,1.02,1,1
43,4,3,545000,"Sold 04/24/2023",542900,2600,2796,0.9,1,1
44,5,4,630000,"Sold 04/24/2023",627500,3099,3284,6534,1,2
45,4,4,789900,"Sold 04/24/2023",782800,3419,3044,0.36,1,1
46,3,2,390000,"Sold 04/24/2023",387900,1939,1565,9539.64,1,2
47,4,3,404900,"Sold 04/24/2023",402500,2135,2029,8407.08,1,2
48,3,3,415000,"Sold 04/24/2023",415000,2199,2300,7753.68,1,2
49,4,3,478160,"Sold 04/24/2023",467800,2500,2700,6534,1,2
50,3,3,440000,"Sold 04/21/2023",438600,2167,2200,0.75,1,1
51,4,3,648000,"Sold 04/21/2023",645900,2949,3506,0.36,1,1
52,4,3,390000,"Sold 04/21/2023",418400,2592,3070,0.3,1,1
53,4,5,690000,"Sold 04/21/2023",689900,3032,3958,1.03,1,1
54,4,3,445000,"Sold 04/21/2023",443500,2450,2740,6969.6,1,2
55,3,3,485000,"Sold 04/21/2023",482700,2394,2451,7405.2,1,2
56,4,3,620000,"Sold 04/21/2023",617100,2749,2985,1.34,1,1
57,5,4,599990,"Sold 04/21/2023",597900,3099,3168,10018.8,1,2
58,4,5,1179000,"Sold 04/21/2023",1173500,5223,3746,0.7,1,1
59,4,5,1325000,"Sold 04/21/2023",1318800,5824,4256,0.7,1,1
60,6,6,799990,"Sold 04/21/2023",782300,3999,4552,9583.2,1,2
61,3,2,395000,"Sold 04/21/2023",391300,1930,1565,6926.04,1,2
62,5,4,499750,"Sold 04/21/2023",489500,2800,2881,0.3,1,1
63,5,4,553070,"Sold 04/21/2023",539700,3069,3166,8712,1,2
64,3,3,485000,"Sold 04/21/2023",482700,2381,2516,7056.72,1,2
65,3,3,805000,"Sold 04/20/2023",814600,3580,2953,0.69,1,1
66,3,2,310000,"Sold 04/20/2023",308700,1749,1354,4791.6,1,2
67,5,5,1026000,"Sold 04/20/2023",1022500,4510,3687,0.39,1,1
68,3,3,440000,"Sold 04/20/2023",437800,2200,2191,5749.92,1,2
69,3,4,399900,"Sold 04/20/2023",390600,2050,1801,3920.4,1,2
70,3,2,350000,"Sold 04/19/2023",340000,2072,1826,0.25,1,1
71,5,4,700000,"Sold 04/19/2023",697800,3066,3501,8712,1,2
72,4,3,633000,"Sold 04/19/2023",630700,2495,2731,10454.4,1,2
73,3,3,437500,"Sold 04/18/2023",435500,2158,1951,0.97,1,1
74,3,3,350000,"Sold 04/18/2023",348500,1954,1630,10018.8,1,2
75,3,2,430000,"Sold 04/18/2023",428300,1999,1719,0.3,1,1
76,3,3,401000,"Sold 04/18/2023",398500,2088,1845,6969.6,1,2
77,3,3,599900,"Sold 04/18/2023",597600,2450,2700,7405.2,1,2
78,4,3,520000,"Sold 04/18/2023",518200,2700,3163,8712,1,2
79,3,2,488460,"Sold 04/18/2023",485800,2047,1800,0.27,1,1
80,6,5,889990,"Sold 04/18/2023",864400,4500,4294,0.43,1,1
81,4,3,525000,"Sold 04/17/2023",522800,2394,2660,0.34,1,1
82,4,4,467000,"Sold 04/17/2023",465100,2650,3042,5227.2,1,2
83,5,5,1225000,"Sold 04/17/2023",1220500,5385,4325,1.89,1,1
84,4,6,2125000,"Sold 04/17/2023",2117200,9342,6664,0.88,1,1
85,4,5,936000,"Sold 04/17/2023",932600,4115,3872,0.91,1,1
86,4,4,545000,"Sold 04/17/2023",542700,2535,2805,0.28,1,1
