"propertyLocation_id","props.address","props.latitude","props.longitude","props.zipcode","props.zpid","props.city","props.county","props.state","props.country"
1,"7525 Matherly Dr",35.997555,-78.54477,27587,6495203,"Wake Forest","WAKE","NC","US"
2,"132 W Holding Ave",35.972195,-78.51688,27587,6511345,"Wake Forest","WAKE","NC","US"
3,"2809 Stirrup Ct",35.93781,-78.52755,27587,6565463,"Wake Forest","WAKE","NC","US"
4,"900 Finchurch Cir",35.994972,-78.504776,27587,50112075,"Wake Forest","WAKE","NC","US"
5,"2812 Kimmon Way",36.01907,-78.55357,27587,60399270,"Wake Forest","WAKE","NC","US"
6,"1747 Main Divide Dr",35.963654,-78.47484,27587,82677869,"Wake Forest","WAKE","NC","US"
7,"4003 Stoneway Ct",36.037243,-78.557175,27587,93022071,"Wake Forest","WAKE","NC","US"
8,"4008 Heritage View Trl",35.939213,-78.49239,27587,103765608,"Wake Forest","WAKE","NC","US"
9,"1221 Golden Star Way",35.940727,-78.491486,27587,110606906,"Wake Forest","WAKE","NC","US"
10,"912 Keith Rd",35.988007,-78.60894,27587,133227219,"Wake Forest","WAKE","NC","US"
11,"1604 Frog Hollow Way",35.965935,-78.47714,27587,133703720,"Wake Forest","WAKE","NC","US"
12,"821 Traditions Ridge Dr",35.984325,-78.49421,27587,215493021,"Wake Forest","WAKE","NC","US"
13,"133 Sam Ct",35.95123,-78.455795,27587,338501724,"Wake Forest","WAKE","NC","US"
14,"1768 Golden Honey Dr",35.95123,-78.455795,27587,2061017409,"Wake Forest","WAKE","NC","US"
15,"1237 Remey Ave",35.95123,-78.455795,27587,2061458985,"Wake Forest","WAKE","NC","US"
16,"321 Sparrow Rdg Dr",35.95123,-78.455795,27587,2061743817,"Wake Forest","WAKE","NC","US"
17,"8616 Bishop Pine Ln",35.95123,-78.455795,27587,2067456954,"Wake Forest","WAKE","NC","US"
18,"3625 Purnell Rd",36.016052,-78.57749,27587,6470783,"Wake Forest","WAKE","NC","US"
19,"3417 Donner Trl",35.918243,-78.51401,27587,6513444,"Wake Forest","WAKE","NC","US"
20,"229 Yellow Poplar Ave",35.968487,-78.51185,27587,6559948,"Wake Forest","WAKE","NC","US"
21,"350 Rock Spring Rd",35.986122,-78.51236,27587,67558503,"Wake Forest","WAKE","NC","US"
22,"10212 San Remo Pl",35.940098,-78.52979,27587,80200420,"Wake Forest","WAKE","NC","US"
23,"886 Blue Bird Ln",35.961025,-78.536385,27587,215492686,"Wake Forest","WAKE","NC","US"
24,"5621 Abbey Grace Ln",35.950497,-78.450676,27587,248753528,"Wake Forest","WAKE","NC","US"
25,"920 Tryon Palace St",35.981544,-78.4644,27587,305124039,"Wake Forest","WAKE","NC","US"
26,"525 Friendship Chapel Rd",35.96446,-78.500336,27587,338501638,"Wake Forest","WAKE","NC","US"
27,"3535 Bruce Garner Rd",35.96446,-78.500336,27587,2059989331,"Wake Forest","WAKE","NC","US"
28,"350 N Rock Springs Rd",35.986122,-78.51236,27587,2076026337,"Wake Forest","WAKE","NC","US"
29,"2625 Forestville Rd",35.902336,-78.50571,27587,6471204,"Wake Forest","WAKE","NC","US"
30,"2859 Steeple Run Dr",35.938843,-78.52846,27587,6556963,"Wake Forest","WAKE","NC","US"
31,"1108 Colonial Club Rd",35.95503,-78.48995,27587,60539842,"Wake Forest","WAKE","NC","US"
32,"1109 Litchborough Way",35.95031,-78.47503,27587,122282252,"Wake Forest","WAKE","NC","US"
33,"7205 Weller Cir",35.977345,-78.59656,27587,338497827,"Wake Forest","WAKE","NC","US"
34,"381 Natsam Woods Way",35.977345,-78.59656,27587,2061483381,"Wake Forest","WAKE","NC","US"
35,"345 Jorpaul Dr",36.05862,-78.57942,27587,2061833615,"Wake Forest","WAKE","NC","US"
36,"1441 Blantons Creek Dr",36.05862,-78.57942,27587,2062185600,"Wake Forest","WAKE","NC","US"
37,"151 Spring Park Rd",35.957104,-78.52078,27587,6409332,"Wake Forest","WAKE","NC","US"
