Zip Code,Area Code,City,County,State,Country
27278,919/984,HILLSBOROUGH,ORANGE Multi County Flag,NC,US
27503,919,BAHAMA,DURHAM,NC,US
27517,919/984,CHAPEL HILL,ORANGE Multi County Flag,NC,US
27519,919,CARY,WAKE Multi County Flag,NC,US
27560,919/984,MORRISVILLE,WAKE Multi County Flag,NC,US
27572,919,ROUGEMONT,DURHAM,NC,US
27613,919/984,RALEIGH,WAKE Multi County Flag,NC,US
27617,919/984,RALEIGH,WAKE Multi County Flag,NC,US
27701,919/984,DURHAM,DURHAM,NC,US
27702,919/984,DURHAM,DURHAM,NC,US
27703,919/984,DURHAM,DURHAM,NC,US
27704,919/984,DURHAM,DURHAM,NC,US
27705,919,DURHAM,DURHAM,NC,US
27706,919/984,DURHAM,DURHAM,NC,US
27707,919/984,DURHAM,DURHAM,NC,US
27708,919/984,DURHAM,DURHAM,NC,US
27709,919/984,DURHAM,DURHAM,NC,US
27710,919/984,DURHAM,DURHAM,NC,US
27711,919/984,DURHAM,DURHAM,NC,US
27712,919,DURHAM,DURHAM,NC,US
27713,919/984,DURHAM,DURHAM,NC,US
27715,919/984,DURHAM,DURHAM,NC,US
27717,919/984,DURHAM,DURHAM,NC,US
27722,919/984,DURHAM,DURHAM,NC,US
27501,919/984,ANGIER,HARNETT Multi County Flag,NC,US
27502,919/984,APEX,WAKE,NC,US
27511,919/984,CARY,WAKE,NC,US
27512,919/984,CARY,WAKE,NC,US
27513,919/984,CARY,WAKE,NC,US
27518,984,CARY,WAKE,NC,US
27519,919,CARY,WAKE,NC,US
27520,919/984,CLAYTON,JOHNSTON Multi County Flag,NC,US
27522,919/984,CREEDMOOR,GRANVILLE Multi County Flag,NC,US
27523,984,APEX,WAKE,NC,US
27526,919/984,FUQUAY VARINA,WAKE,NC,US
27529,919,GARNER,WAKE,NC,US
27539,984/919,APEX,WAKE,NC,US
27540,919/984,HOLLY SPRINGS,WAKE,NC,US
27545,919,KNIGHTDALE,WAKE,NC,US
27560,919/984,MORRISVILLE,WAKE,NC,US
27562,919/984,NEW HILL,WAKE,NC,US
27571,919,ROLESVILLE,WAKE,NC,US
27587,919/984,WAKE FOREST,WAKE,NC,US
27588,919/984,WAKE FOREST,WAKE,NC,US
27591,919/984,WENDELL,WAKE,NC,US
27592,919,WILLOW SPRING,WAKE,NC,US
27596,919,YOUNGSVILLE,FRANKLIN Multi County Flag,NC,US
27597,919/984,ZEBULON,WAKE,NC,US
27601,919/984,RALEIGH,WAKE,NC,US
27602,919/984,RALEIGH,WAKE,NC,US
27603,919,RALEIGH,WAKE,NC,US
27604,984/919,RALEIGH,WAKE,NC,US
27605,919/984,RALEIGH,WAKE,NC,US
27606,919,RALEIGH,WAKE,NC,US
27607,919,RALEIGH,WAKE,NC,US
27608,919/984,RALEIGH,WAKE,NC,US
27609,984/919,RALEIGH,WAKE,NC,US
27610,919,RALEIGH,WAKE,NC,US
27611,919/984,RALEIGH,WAKE,NC,US
27612,919/984,RALEIGH,WAKE,NC,US
27613,919/984,RALEIGH,WAKE,NC,US
27614,919,RALEIGH,WAKE,NC,US
27615,919,RALEIGH,WAKE,NC,US
27616,919/984,RALEIGH,WAKE,NC,US
27617,919/984,RALEIGH,WAKE,NC,US
27619,919/984,RALEIGH,WAKE,NC,US
27620,919/984,RALEIGH,WAKE,NC,US
27622,919/984,RALEIGH,WAKE,NC,US
27623,919/984,RALEIGH,WAKE,NC,US
27624,919/984,RALEIGH,WAKE,NC,US
27625,919/984,RALEIGH,WAKE,NC,US
27626,919/984,RALEIGH,WAKE,NC,US
27627,919/984,RALEIGH,WAKE,NC,US
27628,919/984,RALEIGH,WAKE,NC,US
27629,919/984,RALEIGH,WAKE,NC,US
27634,919/984,RALEIGH,WAKE,NC,US
27635,919/984,RALEIGH,WAKE,NC,US
27636,919/984,RALEIGH,WAKE,NC,US
27640,919/984,RALEIGH,WAKE,NC,US
27650,919/984,RALEIGH,WAKE,NC,US
27656,919/984,RALEIGH,WAKE,NC,US
27658,919/984,RALEIGH,WAKE,NC,US
27661,919/984,RALEIGH,WAKE,NC,US
27668,919/984,RALEIGH,WAKE,NC,US
27675,919/984,RALEIGH,WAKE,NC,US
27676,919/984,RALEIGH,WAKE,NC,US
27690,919/984,RALEIGH,WAKE,NC,US
27695,919,RALEIGH,WAKE,NC,US
27697,919/984,RALEIGH,WAKE,NC,US
27698,919/984,RALEIGH,WAKE,NC,US
27699,919/984,RALEIGH,WAKE,NC,US
27703,919/984,DURHAM,DURHAM Multi County Flag,NC,US
27713,919/984,DURHAM,DURHAM Multi County Flag,NC,US
