props.dateSold,props.propertyType,props.lotAreaValue,props.address,props.variableData.text,props.variableData.type,props.zestimate,props.imgSrc,props.price,props.bedrooms,props.contingentListingType,props.longitude,props.latitude,props.listingStatus,props.zpid,props.rentZestimate,props.daysOnZillow,props.bathrooms,props.livingArea,props.country,props.currency,props.lotAreaUnit,props.hasImage
1683874800000,SINGLE_FAMILY,2,"1414 Mason Rd, Durham, NC 27712",Sold 05/12/2023,RECENTLY_SOLD,210700,https://photos.zillowstatic.com/fp/e511948a35a18b39e7259461ea198655-p_e.jpg,225000,2,,-78.93287,36.12666,RECENTLY_SOLD,50025450,1563,-1,1,1346,USA,USD,acres,TRUE
1683788400000,SINGLE_FAMILY,0.31,"3015 Elk Ridge Rd, Durham, NC 27712",Sold 05/11/2023,RECENTLY_SOLD,520900,https://photos.zillowstatic.com/fp/d6b616c3c5e247af37918f6f1c6a9001-p_e.jpg,500000,4,,-78.950775,36.064587,RECENTLY_SOLD,50017911,2826,-1,3,2175,USA,USD,acres,TRUE
1683788400000,SINGLE_FAMILY,8276.4,"417 Birchrun Dr, Durham, NC 27712",Sold 05/11/2023,RECENTLY_SOLD,357313,https://photos.zillowstatic.com/fp/02bd038fe0bfa44b43d98f504539ae64-p_e.jpg,376000,3,,-78.916824,36.096012,RECENTLY_SOLD,108265022,1800,-1,2,1441,USA,USD,sqft,TRUE
1683702000000,SINGLE_FAMILY,0.47,"115 November Dr, Durham, NC 27712",Sold 05/10/2023,RECENTLY_SOLD,1296900,https://photos.zillowstatic.com/fp/61e92cc8e12575a06163d1408235ee4d-p_e.jpg,1295000,4,,-78.958595,36.075172,RECENTLY_SOLD,98210952,6488,-1,5,4298,USA,USD,acres,TRUE
1683529200000,SINGLE_FAMILY,0.51,"6107 Snowhill Dr, Durham, NC 27712",Sold 05/08/2023,RECENTLY_SOLD,632500,https://photos.zillowstatic.com/fp/844b052b03278ab49a3f586324f6ebcb-p_e.jpg,632000,4,,-78.87297,36.107597,RECENTLY_SOLD,98219039,2792,-1,3,2859,USA,USD,acres,TRUE
1683270000000,SINGLE_FAMILY,1.153,"1222 E Oak Dr, Durham, NC 27712",Sold 05/05/2023,RECENTLY_SOLD,649900,https://photos.zillowstatic.com/fp/5c5fd0ab773cfa73738423a95fe62500-p_e.jpg,649900,4,,-78.95935,36.047916,RECENTLY_SOLD,80197998,3244,-1,4,3892,USA,USD,acres,TRUE
1683270000000,SINGLE_FAMILY,0.589,"6 Deerwood Ct, Durham, NC 27712",Sold 05/05/2023,RECENTLY_SOLD,575000,https://photos.zillowstatic.com/fp/eb6ad4399bb869c8df364bb1a33094a9-p_e.jpg,575000,5,,-78.85489,36.118587,RECENTLY_SOLD,80201853,3262,-1,4,3165,USA,USD,acres,TRUE
1683183600000,SINGLE_FAMILY,1.22,"5 Bagpipe Way, Durham, NC 27712",Sold 05/04/2023,RECENTLY_SOLD,418500,https://photos.zillowstatic.com/fp/ca92600b39c82e95694cdb227e9e33af-p_e.jpg,418500,3,,-78.94671,36.11635,RECENTLY_SOLD,50024688,1841,-1,2,1581,USA,USD,acres,TRUE
1683097200000,SINGLE_FAMILY,10018.8,"3011 Elk Ridge Rd, Durham, NC 27712",Sold 05/03/2023,RECENTLY_SOLD,401000,https://photos.zillowstatic.com/fp/370e699dd92b238e2410672aff40fed2-p_e.jpg,401000,3,,-78.95147,36.064632,RECENTLY_SOLD,50017909,1999,-1,2,1844,USA,USD,sqft,TRUE
1683097200000,SINGLE_FAMILY,0.46,"4900 Mandel Rd, Durham, NC 27712",Sold 05/03/2023,RECENTLY_SOLD,350000,https://photos.zillowstatic.com/fp/dfab812d713de33f86fd572c06da87ee-p_e.jpg,350000,3,,-78.93945,36.07875,RECENTLY_SOLD,50021573,1942,-1,2,1609,USA,USD,acres,TRUE
